Activity Type,Location,Distance,Calories,Time,Avg HR,Max HR,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Cadence,Power,Total Strokes,Avg. Swolf,Avg Stroke Rate
running,Poughkeepsie Running,5.81,511,41:59:00,147,162,169,198,7:14,6:13,349,349,1.32,,,,,
cycling,Cycling,0,394,33:48:00,139,159,,,,,,,0,,,,,
indoor_cycling,Indoor Cycling,9.32,395,33:50:00,139,159,,,16.5,21.6,77,,0,87,151,,,
running,Poughkeepsie Running,6.56,721,45:02:00,,,168,196,6:52,3:47,520,530,1.4,,,,,
running,Poughkeepsie Running,6.56,717,47:26:00,,,159,196,7:14,3:47,520,530,0,,,,,
running,Poughkeepsie Running,4.24,476,29:38:00,,,172,195,7:00,5:42,86,157,1.34,,,,,
running,Guilderland Running,0.67,73,5:44,,,170,178,8:30,7:56,,,0,,,,,
running,Poughkeepsie Running,9.61,884,1:03:29,163,176,168,188,6:36,5:25,303,307,0,,,,,
running,Albany Running,0.24,17,00:58.3,,,194,228,4:04,4:10,20,,2.04,,,,,
running,Slingerlands Running,9.31,901,1:00:48,167,183,170,186,6:32,5:34,284,284,1.45,,,,,
indoor_cycling,Indoor Cycling,0,425,35:44:00,144,166,,,,,,,0,,,,,
running,Slingerlands Running,3.88,369,27:00:00,155,162,171,186,6:58,6:08,134,98,1.35,,,,,
running,Slingerlands Running,6.27,618,42:57:00,163,175,170,182,6:51,5:52,127,131,1.38,,,,,
running,Albany Running,1.07,115,10:06,,,163,192,9:29,5:29,,9,1.03,,,,,
running,Slingerlands Running,5.69,561,39:38:00,159,177,170,191,6:58,4:14,80,91,1.36,,,,,
running,Slingerlands Running,9.26,894,1:01:38,164,182,170,203,6:40,5:03,247,241,1.42,,,,,
walking,Slingerlands Walking,0.75,96,06:56.3,153,169,144,184,9:12,6:49,,,1.21,,,,,
running,Slingerlands Running,2.64,268,18:06,165,180,162,196,6:52,4:29,80,38,1.45,,,,,
running,Slingerlands Running,1.83,153,10:04,173,183,174,186,5:31,5:15,34,31,1.67,,,,,
running,Slingerlands Running,1.12,103,07:56.1,149,156,164,179,7:06,6:40,33,36,1.38,,,,,
treadmill_running,Treadmill Running,5.12,558,39:27:00,161,182,166,188,7:42,6:22,,,1.26,,,,,
running,Poughkeepsie Running,1.2,130,09:09.5,159,170,170,188,7:37,6:28,31,46,1.24,,,,,
running,Poughkeepsie Running,1.87,201,14:01,160,184,171,203,7:29,4:17,129,125,1.25,,,,,
running,Poughkeepsie Running,1.84,165,10:02,180,187,172,186,5:27,4:14,73,44,1.71,,,,,
running,Poughkeepsie Running,6.23,546,44:32:00,147,158,169,199,7:09,5:25,193,207,1.33,,,,,
